"name","pos","sourceName","name_espn","team_espn","positionRank","overallRank","points","passAtt","passComp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds"
"CHRISTHOMPSON","RB","espn","Chris Thompson","WAS",12,61,"71.2",0,0,0,0,0,49.1,220.5,1.1,43.2,360,1.5
"TAJAESHARPE","WR","espn","Tajae Sharpe","TEN",18,62,"71.2",0,0,0,0,0,0,0,0,44.6,559.7,2.7
"DALLASCOWBOYS","DST","espn","Dallas Cowboys","DAL",17,63,"71.2",0,0,0,0,0,0,0,0,0,0,0
"CHRISHOGAN","WR","espn","Chris Hogan","NE",19,64,"71.1",0,0,0,0,0,2,12.1,0.1,41.5,473.7,3.8
"JIMMYGAROPPOLO","QB","espn","Jimmy Garoppolo","NE",1,65,"69.9",151.5,93.5,1023.9,7.3,3.7,15.4,62.1,0.5,0,0,0
"DIONLEWIS","RB","espn","Dion Lewis","NE",13,66,"69.9",0,0,0,0,0,61.1,245.7,1.9,33.5,296.2,1.2
"JAMISONCROWDER","WR","espn","Jamison Crowder","WAS",20,67,"68.8",0,0,0,0,0,1.9,12.1,0,51.8,488.1,3.1
"CLEVELANDBROWNS","DST","espn","Cleveland Browns","CLE",18,68,"68.6",0,0,0,0,0,0,0,0,0,0,0
"AUSTINSEFERIANJENKINS","TE","espn","Austin Seferian-Jenkins","TB",16,69,"68.5",0,0,0,0,0,0,0,0,37.5,466.5,3.8
"DAVANTEADAMS","WR","espn","Davante Adams","GB",21,70,"67.9",0,0,0,0,0,0,0,0,39.4,449.8,4
"VANCEMCDONALD","TE","espn","Vance McDonald","SF",17,71,"66.7",0,0,0,0,0,0,0,0,41.5,494.7,3
"BRAXTONMILLER","WR","espn","Braxton Miller","HOU",22,72,"65.6",0,0,0,0,0,8.6,54.6,0.2,43.3,469.3,2.3
"JAVORIUSALLEN","RB","espn","Javorius Allen","BAL",14,73,"65.5",0,0,0,0,0,70.6,289.2,2.1,26.7,210.4,0.8
"TERRANCEWEST","RB","espn","Terrance West","BAL",15,74,"65.3",0,0,0,0,0,105.9,431,3,8.8,65.8,0.2
"SETHROBERTS","WR","espn","Seth Roberts","OAK",23,75,"64.8",0,0,0,0,0,0,0,0,37.3,435.3,3.7
"LADARIUSGREEN","TE","espn","Ladarius Green","PIT",18,76,"64.8",0,0,0,0,0,0,0,0,34.8,448.9,3.4
"COLINKAEPERNICK","QB","espn","Colin Kaepernick","SF",2,77,"64.2",142.1,81.5,940.3,4.8,3,24.8,138.9,0.6,0,0,0
"JOSHDOCTSON","WR","espn","Josh Doctson","WAS",24,78,"64.2",0,0,0,0,0,0,0,0,32.5,444.6,3.4
"COLEBEASLEY","WR","espn","Cole Beasley","DAL",25,79,"64.1",0,0,0,0,0,0,0,0,47.6,480.1,2.8
"CJPROSISE","RB","espn","C.J. Prosise","SEA",16,80,"63.7",0,0,0,0,0,59,244.1,1.6,29.4,242,1.2
"SPENCERWARE","RB","espn","Spencer Ware","KC",17,81,"63.2",0,0,0,0,0,80.6,353,4,5.6,41.2,0.1
"DEANDREWASHINGTON","RB","espn","DeAndre Washington","OAK",18,82,"62.4",0,0,0,0,0,79.7,318.8,1.5,22.6,188.5,0.9
"CHRISCONLEY","WR","espn","Chris Conley","KC",26,83,"62",0,0,0,0,0,0,0,0,41,455.6,2.9
"NELSONAGHOLOR","WR","espn","Nelson Agholor","PHI",27,84,"61.9",0,0,0,0,0,0,0,0,37.4,460.5,2.6
"KENDALLWRIGHT","WR","espn","Kendall Wright","TEN",28,85,"61.6",0,0,0,0,0,4.5,28.6,0.1,38.7,477.5,2.1
"KADEEMCAREY","RB","espn","Ka'Deem Carey","CHI",19,86,"61.3",0,0,0,0,0,87.6,367.3,2.4,14,107.4,0.4
"DONALDBROWN","RB","espn","Donald Brown","NE",20,87,"6.8",0,0,0,0,0,5.8,23.2,0.2,4.4,33.5,0.2
"DREWSTANTON","QB","espn","Drew Stanton","ARZ",3,88,"6.5",16.6,9.4,109.5,0.8,0.5,0.9,3.6,0,0,0,0
"CLAYHARBOR","TE","espn","Clay Harbor","NE",19,89,"6.4",0,0,0,0,0,0,0,0,3.9,43.1,0.4
"LOGANPAULSEN","TE","espn","Logan Paulsen","WAS",20,90,"6.2",0,0,0,0,0,0,0,0,3.8,42.3,0.4
"RHETTELLISON","TE","espn","Rhett Ellison","MIN",21,91,"6.1",0,0,0,0,0,0,0,0,4.3,48.5,0.3
"SEANMCGRATH","TE","espn","Sean McGrath","SD",22,92,"6.1",0,0,0,0,0,0,0,0,4,43.4,0.4
"CHRISJOHNSON","RB","espn","Chris Johnson","ARZ",21,93,"58.6",0,0,0,0,0,100.4,425.9,2.7,2.1,15.4,0.1
"VIRGILGREEN","TE","espn","Virgil Green","DEN",23,94,"58.6",0,0,0,0,0,0,0,0,45.7,401.3,3.1
"TIMHIGHTOWER","RB","espn","Tim Hightower","NO",22,95,"58.4",0,0,0,0,0,82.1,320.8,3.1,10,73.3,0.3
"CHARLESJOHNSON","WR","espn","Charles Johnson","MIN",29,96,"57.9",0,0,0,0,0,0,0,0,30.4,435.5,2.5
"WILLTYE","TE","espn","Will Tye","NYG",24,97,"57.7",0,0,0,0,0,0,0,0,35.8,365.8,3.6
"JACOBTAMME","TE","espn","Jacob Tamme","ATL",25,98,"57.4",0,0,0,0,0,0,0,0,43,437.6,2.4
"BRESHADPERRIMAN","WR","espn","Breshad Perriman","BAL",30,99,"56.5",0,0,0,0,0,0,0,0,28.8,417.5,2.6
"QUINTONPATTON","WR","espn","Quinton Patton","SF",31,100,"56.2",0,0,0,0,0,0,0,0,38.5,433.2,2.2
"EDDIEROYAL","WR","espn","Eddie Royal","CHI",32,101,"55.3",0,0,0,0,0,2.2,13.9,0.1,37.5,401.5,2.3
"REGGIEBUSH","RB","espn","Reggie Bush","BUF",23,102,"55.2",0,0,0,0,0,69,291.4,1.8,16.1,119.8,0.6
"ALFREDMORRIS","RB","espn","Alfred Morris","DAL",24,103,"55",0,0,0,0,0,91.3,382.9,2.4,3.9,29.4,0.1
"JAMESWHITE","RB","espn","James White","NE",25,104,"54.6",0,0,0,0,0,31,126.4,1,32.4,300.6,1.2
"JAELENSTRONG","WR","espn","Jaelen Strong","HOU",33,105,"53.8",0,0,0,0,0,0,0,0,31.8,378,2.8
"LARRYDONNELL","TE","espn","Larry Donnell","NYG",26,106,"53.1",0,0,0,0,0,0,0,0,31.2,321,3.6
"CASEKEENUM","QB","espn","Case Keenum","LA",4,107,"53",129.6,75.7,835.5,3.4,3.8,29.2,98.4,1.3,0,0,0
"CJSPILLER","RB","espn","C.J. Spiller","NO",26,108,"52.2",0,0,0,0,0,31.3,134.2,0.8,37.1,273.7,1.1
"MARQISELEE","WR","espn","Marqise Lee","JAC",34,109,"51.1",0,0,0,0,0,7.2,45.9,0.2,29.2,323.8,2.3
"JACEAMARO","TE","espn","Jace Amaro","NYJ",27,110,"51.1",0,0,0,0,0,0,0,0,32.9,333.2,3
"JORDANHOWARD","RB","espn","Jordan Howard","CHI",27,111,"50",0,0,0,0,0,75.9,305.7,2.7,5.9,44.4,0.2
"DENNISPITTA","TE","espn","Dennis Pitta","BAL",28,112,"5.9",0,0,0,0,0,0,0,0,3.9,42.2,0.3
"TROYNIKLAS","TE","espn","Troy Niklas","ARZ",29,113,"5.5",0,0,0,0,0,0,0,0,3.8,39.8,0.4
"TOMSAVAGE","QB","espn","Tom Savage","HOU",5,114,"5.4",17.5,9.9,112.6,0.7,0.7,0.4,1.5,0,0,0,0
"RUEBENRANDLE","WR","espn","Rueben Randle","PHI",35,115,"5.4",0,0,0,0,0,0,0,0,3.3,41.8,0.2
"MATTCASSEL","QB","espn","Matt Cassel","TEN",6,116,"5.2",14.9,9,100.2,0.6,0.5,0.8,3.3,0,0,0,0
"KELLENDAVIS","TE","espn","Kellen Davis","NYJ",30,117,"5",0,0,0,0,0,0,0,0,3.6,39.8,0.3
"ALBERTWILSON","WR","espn","Albert Wilson","KC",36,118,"49.6",0,0,0,0,0,3.8,24,0.2,29.6,366.4,1.8
"DORIALGREENBECKHAM","WR","espn","Dorial Green-Beckham","PHI",37,119,"49.2",0,0,0,0,0,1.8,11.6,0.1,24.3,347.9,2.3
"CARSONWENTZ","QB","espn","Carson Wentz","PHI",7,120,"47.7",103.5,60.4,698.5,4.6,2.4,14,56.5,0.6,0,0,0
"TYRELLWILLIAMS","WR","espn","Tyrell Williams","SD",38,121,"47",0,0,0,0,0,0,0,0,25.8,335.3,2.4
"MIKETOLBERT","RB","espn","Mike Tolbert","CAR",28,122,"45.8",0,0,0,0,0,47.3,181.5,1.9,15.5,125.7,0.9
"JJNELSON","WR","espn","J.J. Nelson","ARZ",39,123,"45.3",0,0,0,0,0,2.1,12.9,0.1,17.2,323.7,1.8
"CROCKETTGILLMORE","TE","espn","Crockett Gillmore","BAL",31,124,"45",0,0,0,0,0,0,0,0,31,339,2
"BENJAMINCUNNINGHAM","RB","espn","Benjamin Cunningham","LA",29,125,"43.9",0,0,0,0,0,38.3,157.7,1.2,24.3,198.7,0.5
"CAMERONARTISPAYNE","RB","espn","Cameron Artis-Payne","CAR",30,126,"43.7",0,0,0,0,0,66.3,272.7,1.9,7.5,55.7,0.3
"ROBERTTURBIN","RB","espn","Robert Turbin","IND",31,127,"43.2",0,0,0,0,0,61.9,249.4,1.2,12.9,96.1,0.5
"AUSTINHOOPER","TE","espn","Austin Hooper","ATL",32,128,"42.5",0,0,0,0,0,0,0,0,28,304.8,2.1
"BRANDONLAFELL","WR","espn","Brandon LaFell","CIN",40,129,"42.3",0,0,0,0,0,0,0,0,24,313,1.9
"TYLERHIGBEE","TE","espn","Tyler Higbee","LA",33,130,"40.9",0,0,0,0,0,0,0,0,26.8,318.3,1.7
"ANDREELLINGTON","RB","espn","Andre Ellington","ARZ",32,131,"40.7",0,0,0,0,0,41.9,174.6,1.1,16.7,143.6,0.7
